transaction_id,user_id,date,transaction_type,category,payment_mode,location,notes,year_month,month,day_of_week,is_weekend,year,amount_idr
T0565,U052,2021-01-01,income,freelance,tunai,bandung,jasa edit video,2021-01,1,Friday,False,2021,5443000
T2465,U098,2021-01-01,expense,tempat_tinggal,tunai,bandung,bayar kos bulanan,2021-01,1,Friday,False,2021,1490000
T2971,U138,2021-01-01,expense,tempat_tinggal,bank_transfer,palembang,perpanjang sewa kos,2021-01,1,Friday,False,2021,1749000
T12231,U123,2021-01-01,expense,makanan,bank_transfer,jakarta,makan di food court,2021-01,1,Friday,False,2021,195000
T1657,U023,2021-01-02,expense,pendidikan,kartu,palembang,beli buku referensi,2021-01,1,Saturday,True,2021,143000
T5383,U027,2021-01-02,expense,makanan,tunai,bandung,beli snack kantor,2021-01,1,Saturday,True,2021,29000
T10077,U088,2021-01-02,income,lainnya,tunai,unknown,pengeluaran tak terduga,2021-01,1,Saturday,True,2021,300000
T6762,U071,2021-01-02,expense,tempat_tinggal,tunai,jakarta,bayar uang kebersihan,2021-01,1,Saturday,True,2021,115000
T9587,U067,2021-01-02,expense,hiburan,kartu,bandung,beli tiket konser,2021-01,1,Saturday,True,2021,522000
T12972,U077,2021-01-02,expense,pendidikan,qris,palembang,beli aplikasi belajar,2021-01,1,Saturday,True,2021,92000
T12433,U064,2021-01-02,expense,tagihan,qris,unknown,bayar langganan iCloud,2021-01,1,Saturday,True,2021,27000
T11125,U135,2021-01-02,expense,tempat_tinggal,tunai,unknown,bayar sewa apartemen,2021-01,1,Saturday,True,2021,4150000
T5754,U059,2021-01-03,expense,hiburan,bank_transfer,denpasar,nonton bioskop bareng,2021-01,1,Sunday,True,2021,132000
T1536,U023,2021-01-03,expense,makanan,tunai,balikpapan,beli kopi pagi,2021-01,1,Sunday,True,2021,19000
T9787,U058,2021-01-03,expense,lainnya,kartu,balikpapan,transaksi harian rutin,2021-01,1,Sunday,True,2021,88000
T7193,U034,2021-01-04,income,freelance,kartu,palembang,bayaran proyek desain UI,2021-01,1,Monday,False,2021,1905000
T7118,U045,2021-01-04,income,lainnya,tunai,medan,pengeluaran harian,2021-01,1,Monday,False,2021,107000
T7505,U110,2021-01-04,income,lainnya,qris,semarang,beli peralatan kebersihan,2021-01,1,Monday,False,2021,181000
T2490,U146,2021-01-04,expense,transportasi,qris,unknown,isi bensin motor,2021-01,1,Monday,False,2021,122000
T12145,U111,2021-01-05,expense,kesehatan,qris,semarang,konsultasi psikolog,2021-01,1,Tuesday,False,2021,227000
T2024,U131,2021-01-05,expense,tabungan,qris,makassar,menabung untuk liburan,2021-01,1,Tuesday,False,2021,950000
T7410,U072,2021-01-05,expense,tempat_tinggal,tunai,palembang,bayar uang kebersihan,2021-01,1,Tuesday,False,2021,53000
T12636,U028,2021-01-05,expense,transportasi,tunai,yogyakarta,naik taksi online,2021-01,1,Tuesday,False,2021,100000
T6925,U077,2021-01-06,income,bonus,kartu,makassar,THR lebaran diterima,2021-01,1,Wednesday,False,2021,4567000
T11446,U038,2021-01-06,expense,makanan,bank_transfer,semarang,pesan burger online,2021-01,1,Wednesday,False,2021,66000
T1227,U114,2021-01-06,expense,makanan,tunai,bandung,beli jajanan pasar,2021-01,1,Wednesday,False,2021,91000
T12842,U005,2021-01-06,expense,tempat_tinggal,tunai,bandung,bayar kos bulanan,2021-01,1,Wednesday,False,2021,994000
T6078,U047,2021-01-06,income,investasi,qris,balikpapan,profit dari reksa dana,2021-01,1,Wednesday,False,2021,3260000
T12523,U106,2021-01-06,expense,makanan,ewallet,medan,makan di mcdonald,2021-01,1,Wednesday,False,2021,65000
T7322,U087,2021-01-06,expense,tempat_tinggal,qris,surabaya,biaya keamanan komplek,2021-01,1,Wednesday,False,2021,2349000
T0313,U018,2021-01-07,expense,hiburan,tunai,yogyakarta,nonton di bioskop XXI,2021-01,1,Thursday,False,2021,75000
T6202,U131,2021-01-07,expense,tempat_tinggal,qris,palembang,bayar sewa rumah,2021-01,1,Thursday,False,2021,4500000
T3378,U001,2021-01-07,expense,makanan,kartu,makassar,pesan mie ayam,2021-01,1,Thursday,False,2021,78000
T9820,U078,2021-01-07,expense,transportasi,qris,jakarta,top up kartu e-toll,2021-01,1,Thursday,False,2021,37000
T10950,U018,2021-01-07,expense,makanan,tunai,medan,pesan ayam geprek,2021-01,1,Thursday,False,2021,38000
T10388,U124,2021-01-08,expense,tagihan,ewallet,makassar,bayar BPJS kesehatan,2021-01,1,Friday,False,2021,160000
T3362,U026,2021-01-08,expense,kesehatan,tunai,jakarta,bayar tagihan RS,2021-01,1,Friday,False,2021,1625000
T8936,U112,2021-01-08,expense,tempat_tinggal,bank_transfer,denpasar,bayar IPL apartemen,2021-01,1,Friday,False,2021,2740000
T11293,U017,2021-01-08,expense,hiburan,bank_transfer,denpasar,main game online,2021-01,1,Friday,False,2021,76000
T0499,U070,2021-01-08,expense,makanan,qris,jakarta,beli gorengan sore,2021-01,1,Friday,False,2021,13000
T12928,U012,2021-01-09,expense,makanan,tunai,palembang,beli gorengan sore,2021-01,1,Saturday,True,2021,11000
T7016,U145,2021-01-09,expense,tagihan,tunai,yogyakarta,bayar tagihan phone,2021-01,1,Saturday,True,2021,280000
T4343,U059,2021-01-09,expense,transportasi,bank_transfer,denpasar,bayar parkir mall,2021-01,1,Saturday,True,2021,19000
T8869,U102,2021-01-09,income,lainnya,kartu,palembang,beli deterjen,2021-01,1,Saturday,True,2021,128000
T13646,U076,2021-01-10,income,lainnya,ewallet,semarang,belanja mingguan,2021-01,1,Sunday,True,2021,89000
T0446,U114,2021-01-10,expense,tempat_tinggal,ewallet,unknown,bayar uang kebersihan,2021-01,1,Sunday,True,2021,49000
T4337,U126,2021-01-10,expense,hiburan,bank_transfer,medan,main game online,2021-01,1,Sunday,True,2021,89000
T5640,U035,2021-01-10,expense,tempat_tinggal,qris,denpasar,bayar IPL apartemen,2021-01,1,Sunday,True,2021,9158000
T5814,U066,2021-01-10,expense,tagihan,qris,medan,bayar pulsa bulanan,2021-01,1,Sunday,True,2021,316000
T1222,U121,2021-01-11,expense,tagihan,qris,surabaya,tagihan provider bulan ini,2021-01,1,Monday,False,2021,68000
T6321,U138,2021-01-11,expense,tempat_tinggal,kartu,surabaya,bayar deposit apartemen,2021-01,1,Monday,False,2021,6261000
T6784,U022,2021-01-12,expense,makanan,ewallet,bandung,makan di kantin,2021-01,1,Tuesday,False,2021,23000
T0381,U069,2021-01-12,expense,makanan,qris,surabaya,makan soto ayam,2021-01,1,Tuesday,False,2021,69000
T2179,U012,2021-01-12,income,freelance,qris,semarang,bayaran proyek freelance,2021-01,1,Tuesday,False,2021,6578000
T3411,U068,2021-01-13,income,freelance,qris,yogyakarta,proyek website klien,2021-01,1,Wednesday,False,2021,11479000
T5788,U004,2021-01-13,expense,hiburan,bank_transfer,denpasar,langganan HBO Max,2021-01,1,Wednesday,False,2021,226000
T12375,U056,2021-01-14,income,investasi,kartu,bandung,beli emas digital,2021-01,1,Thursday,False,2021,1163000
T2694,U010,2021-01-14,expense,tempat_tinggal,kartu,bandung,bayar deposit apartemen,2021-01,1,Thursday,False,2021,4639000
T9228,U060,2021-01-15,income,freelance,kartu,denpasar,bayaran proyek freelance,2021-01,1,Friday,False,2021,7056000
T0819,U041,2021-01-16,expense,makanan,kartu,denpasar,beli bubur pagi,2021-01,1,Saturday,True,2021,40000
T8814,U087,2021-01-16,income,gaji,tunai,balikpapan,gaji plus lembur,2021-01,1,Saturday,True,2021,11579000
T2279,U113,2021-01-16,expense,tabungan,ewallet,medan,transfer ke rekening tabungan,2021-01,1,Saturday,True,2021,1485000
T3758,U025,2021-01-17,expense,tagihan,tunai,denpasar,perpanjang paket internet,2021-01,1,Sunday,True,2021,212000
T1391,U123,2021-01-17,expense,tagihan,bank_transfer,unknown,bayar kartu kredit,2021-01,1,Sunday,True,2021,170000
T5882,U139,2021-01-17,income,bonus,qris,bandung,bonus performance review,2021-01,1,Sunday,True,2021,3996000
T4304,U144,2021-01-17,income,gaji,tunai,yogyakarta,transfer salary bulan ini,2021-01,1,Sunday,True,2021,18794000
T2641,U062,2021-01-18,expense,tempat_tinggal,qris,balikpapan,iuran RT bulanan,2021-01,1,Monday,False,2021,107000
T8082,U022,2021-01-18,expense,tempat_tinggal,bank_transfer,unknown,biaya pengelolaan apartemen,2021-01,1,Monday,False,2021,7470000
T7534,U095,2021-01-18,expense,makanan,kartu,palembang,makan di kantin,2021-01,1,Monday,False,2021,27000
T4733,U063,2021-01-19,expense,lainnya,tunai,surabaya,belanja online,2021-01,1,Tuesday,False,2021,136000
T1363,U106,2021-01-19,expense,makanan,bank_transfer,makassar,pesan mie ayam,2021-01,1,Tuesday,False,2021,91000
T0671,U064,2021-01-19,expense,makanan,bank_transfer,bandung,beli jajanan pasar,2021-01,1,Tuesday,False,2021,158000
T3007,U057,2021-01-20,income,lainnya,kartu,unknown,belanja kebutuhan dapur,2021-01,1,Wednesday,False,2021,158000
T12349,U108,2021-01-20,expense,makanan,ewallet,denpasar,pesan pizza online,2021-01,1,Wednesday,False,2021,180000
T10739,U146,2021-01-20,expense,makanan,tunai,semarang,pesan martabak,2021-01,1,Wednesday,False,2021,29000
T9778,U031,2021-01-20,expense,makanan,kartu,balikpapan,makan di food court,2021-01,1,Wednesday,False,2021,126000
T2430,U090,2021-01-20,expense,pendidikan,qris,makassar,beli modul belajar,2021-01,1,Wednesday,False,2021,271000
T8841,U101,2021-01-21,expense,transportasi,bank_transfer,yogyakarta,biaya bensin mobil,2021-01,1,Thursday,False,2021,148000
T1723,U132,2021-01-21,income,bonus,tunai,denpasar,bonus tahunan masuk,2021-01,1,Thursday,False,2021,6847000
T0617,U046,2021-01-22,expense,makanan,tunai,makassar,beli jajanan pasar,2021-01,1,Friday,False,2021,35000
T7300,U116,2021-01-23,expense,makanan,qris,surabaya,beli bubur pagi,2021-01,1,Saturday,True,2021,23000
T0514,U045,2021-01-23,expense,hiburan,bank_transfer,surabaya,langganan HBO Max,2021-01,1,Saturday,True,2021,165000
T8203,U053,2021-01-23,expense,transportasi,kartu,bandung,naik ojek online,2021-01,1,Saturday,True,2021,194000
T3706,U026,2021-01-23,expense,pendidikan,bank_transfer,jakarta,bayar kursus online,2021-01,1,Saturday,True,2021,872000
T4504,U054,2021-01-23,expense,transportasi,tunai,medan,ganti oli motor,2021-01,1,Saturday,True,2021,90000
T9407,U072,2021-01-23,expense,transportasi,qris,semarang,bayar tol,2021-01,1,Saturday,True,2021,36000
T1420,U023,2021-01-23,expense,transportasi,kartu,unknown,naik ojek online,2021-01,1,Saturday,True,2021,148000
T7998,U119,2021-01-24,expense,pendidikan,kartu,unknown,beli laptop pelajar,2021-01,1,Sunday,True,2021,8554000
T1178,U035,2021-01-24,income,gaji,bank_transfer,surabaya,slip gaji diterima,2021-01,1,Sunday,True,2021,10234000
T7526,U054,2021-01-25,income,kesehatan,qris,unknown,bayar tagihan RS,2021-01,1,Monday,False,2021,1412000
T4294,U103,2021-01-25,expense,tabungan,qris,balikpapan,menabung untuk liburan,2021-01,1,Monday,False,2021,686000
T12392,U092,2021-01-25,income,investasi,tunai,makassar,top up tabungan emas,2021-01,1,Monday,False,2021,2169000
T1834,U089,2021-01-25,expense,hiburan,bank_transfer,semarang,main escape room,2021-01,1,Monday,False,2021,125000
T11323,U141,2021-01-25,expense,makanan,kartu,semarang,makan bareng keluarga,2021-01,1,Monday,False,2021,175000
T9578,U106,2021-01-26,expense,tempat_tinggal,bank_transfer,semarang,uang muka sewa kos,2021-01,1,Tuesday,False,2021,1282000
T0154,U001,2021-01-26,expense,tempat_tinggal,bank_transfer,semarang,perpanjang kontrak rumah,2021-01,1,Tuesday,False,2021,1810000
T3323,U063,2021-01-27,expense,pendidikan,kartu,semarang,beli laptop pelajar,2021-01,1,Wednesday,False,2021,8443000
T8974,U101,2021-01-27,expense,pendidikan,tunai,jakarta,beli buku impor,2021-01,1,Wednesday,False,2021,253000
T0969,U033,2021-01-27,expense,hiburan,bank_transfer,bandung,liburan akhir pekan,2021-01,1,Wednesday,False,2021,894000
T1110,U071,2021-01-28,income,gaji,bank_transfer,surabaya,slip gaji diterima,2021-01,1,Thursday,False,2021,11517000
T13571,U120,2021-01-28,expense,makanan,kartu,semarang,beli snack kantor,2021-01,1,Thursday,False,2021,17000
T10702,U052,2021-01-28,expense,transportasi,qris,palembang,ganti oli motor,2021-01,1,Thursday,False,2021,95000
T5200,U011,2021-01-29,income,freelance,tunai,semarang,proyek desain presentasi,2021-01,1,Friday,False,2021,2311000
T2864,U073,2021-01-29,expense,pendidikan,kartu,denpasar,bayar bootcamp,2021-01,1,Friday,False,2021,239000
T3242,U127,2021-01-30,expense,tabungan,bank_transfer,surabaya,tabungan masa depan,2021-01,1,Saturday,True,2021,1650000
T5549,U114,2021-01-30,expense,tempat_tinggal,bank_transfer,jakarta,biaya sewa studio,2021-01,1,Saturday,True,2021,1986000
T2911,U130,2021-01-30,expense,hiburan,ewallet,medan,piknik di taman,2021-01,1,Saturday,True,2021,300000
T12410,U130,2021-01-31,expense,hiburan,qris,semarang,nonton pertandingan bola,2021-01,1,Sunday,True,2021,295000
T10742,U109,2021-01-31,expense,tagihan,tunai,yogyakarta,perpanjang paket internet,2021-01,1,Sunday,True,2021,290000
T4564,U149,2021-01-31,expense,makanan,tunai,medan,makan di kantin,2021-01,1,Sunday,True,2021,25000
T8138,U065,2021-02-01,expense,makanan,kartu,makassar,beli bubur pagi,2021-02,2,Monday,False,2021,10000
