notes,category,amount_idr,month,is_weekend,day_of_week
jasa edit video,freelance,5443000,1,False,Friday
bayar kos bulanan,tempat_tinggal,1490000,1,False,Friday
perpanjang sewa kos,tempat_tinggal,1749000,1,False,Friday
makan di food court,makanan,195000,1,False,Friday
beli buku referensi,pendidikan,143000,1,True,Saturday
beli snack kantor,makanan,29000,1,True,Saturday
pengeluaran tak terduga,lainnya,300000,1,True,Saturday
bayar uang kebersihan,tempat_tinggal,115000,1,True,Saturday
beli tiket konser,hiburan,522000,1,True,Saturday
beli aplikasi belajar,pendidikan,92000,1,True,Saturday
bayar langganan icloud,tagihan,27000,1,True,Saturday
bayar sewa apartemen,tempat_tinggal,4150000,1,True,Saturday
nonton bioskop bareng,hiburan,132000,1,True,Sunday
beli kopi pagi,makanan,19000,1,True,Sunday
transaksi harian rutin,lainnya,88000,1,True,Sunday
bayaran proyek desain ui,freelance,1905000,1,False,Monday
pengeluaran harian,lainnya,107000,1,False,Monday
beli peralatan kebersihan,lainnya,181000,1,False,Monday
isi bensin motor,transportasi,122000,1,False,Monday
konsultasi psikolog,kesehatan,227000,1,False,Tuesday
menabung untuk liburan,tabungan,950000,1,False,Tuesday
bayar uang kebersihan,tempat_tinggal,53000,1,False,Tuesday
naik taksi online,transportasi,100000,1,False,Tuesday
thr lebaran diterima,bonus,4567000,1,False,Wednesday
pesan burger online,makanan,66000,1,False,Wednesday
beli jajanan pasar,makanan,91000,1,False,Wednesday
bayar kos bulanan,tempat_tinggal,994000,1,False,Wednesday
profit dari reksa dana,investasi,3260000,1,False,Wednesday
makan di mcdonald,makanan,65000,1,False,Wednesday
biaya keamanan komplek,tempat_tinggal,2349000,1,False,Wednesday
nonton di bioskop xxi,hiburan,75000,1,False,Thursday
bayar sewa rumah,tempat_tinggal,4500000,1,False,Thursday
pesan mie ayam,makanan,78000,1,False,Thursday
top up kartu etoll,transportasi,37000,1,False,Thursday
pesan ayam geprek,makanan,38000,1,False,Thursday
bayar bpjs kesehatan,tagihan,160000,1,False,Friday
bayar tagihan rs,kesehatan,1625000,1,False,Friday
bayar ipl apartemen,tempat_tinggal,2740000,1,False,Friday
main game online,hiburan,76000,1,False,Friday
beli gorengan sore,makanan,13000,1,False,Friday
beli gorengan sore,makanan,11000,1,True,Saturday
bayar tagihan phone,tagihan,280000,1,True,Saturday
bayar parkir mall,transportasi,19000,1,True,Saturday
beli deterjen,lainnya,128000,1,True,Saturday
belanja mingguan,lainnya,89000,1,True,Sunday
bayar uang kebersihan,tempat_tinggal,49000,1,True,Sunday
main game online,hiburan,89000,1,True,Sunday
bayar ipl apartemen,tempat_tinggal,9158000,1,True,Sunday
bayar pulsa bulanan,tagihan,316000,1,True,Sunday
tagihan provider bulan ini,tagihan,68000,1,False,Monday
bayar deposit apartemen,tempat_tinggal,6261000,1,False,Monday
makan di kantin,makanan,23000,1,False,Tuesday
makan soto ayam,makanan,69000,1,False,Tuesday
bayaran proyek freelance,freelance,6578000,1,False,Tuesday
proyek website klien,freelance,11479000,1,False,Wednesday
langganan hbo max,hiburan,226000,1,False,Wednesday
beli emas digital,investasi,1163000,1,False,Thursday
bayar deposit apartemen,tempat_tinggal,4639000,1,False,Thursday
bayaran proyek freelance,freelance,7056000,1,False,Friday
beli bubur pagi,makanan,40000,1,True,Saturday
gaji plus lembur,gaji,11579000,1,True,Saturday
transfer ke rekening tabungan,tabungan,1485000,1,True,Saturday
perpanjang paket internet,tagihan,212000,1,True,Sunday
bayar kartu kredit,tagihan,170000,1,True,Sunday
bonus performance review,bonus,3996000,1,True,Sunday
transfer salary bulan ini,gaji,18794000,1,True,Sunday
iuran rt bulanan,tempat_tinggal,107000,1,False,Monday
biaya pengelolaan apartemen,tempat_tinggal,7470000,1,False,Monday
makan di kantin,makanan,27000,1,False,Monday
belanja online,lainnya,136000,1,False,Tuesday
pesan mie ayam,makanan,91000,1,False,Tuesday
beli jajanan pasar,makanan,158000,1,False,Tuesday
belanja kebutuhan dapur,lainnya,158000,1,False,Wednesday
pesan pizza online,makanan,180000,1,False,Wednesday
pesan martabak,makanan,29000,1,False,Wednesday
makan di food court,makanan,126000,1,False,Wednesday
beli modul belajar,pendidikan,271000,1,False,Wednesday
biaya bensin mobil,transportasi,148000,1,False,Thursday
bonus tahunan masuk,bonus,6847000,1,False,Thursday
beli jajanan pasar,makanan,35000,1,False,Friday
beli bubur pagi,makanan,23000,1,True,Saturday
langganan hbo max,hiburan,165000,1,True,Saturday
