month,is_weekend,year,amount_idr,category_hiburan,category_investasi,category_kesehatan,category_lainnya,category_makanan,category_pendidikan,category_tabungan,category_tagihan,category_tempat_tinggal,category_transportasi,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
1,0,2021,1490000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,2021,1749000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,2021,195000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2021,143000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,29000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,115000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,2021,522000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,92000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,27000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,2021,4150000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,2021,132000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2021,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2021,88000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,2021,122000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,2021,227000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2021,950000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,2021,53000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,2021,100000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,2021,66000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,91000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,994000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,2021,65000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,2349000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,2021,75000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,2021,4500000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,2021,78000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,2021,37000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,2021,38000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,2021,160000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,0,2021,1625000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,2021,2740000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,2021,76000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,2021,13000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2021,11000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,280000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1,2021,19000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,2021,49000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,2021,89000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2021,9158000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1,2021,316000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,2021,68000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,2021,6261000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,2021,23000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2021,69000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2021,226000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,4639000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,2021,40000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,1485000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,2021,212000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,2021,170000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,2021,107000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,2021,7470000,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,2021,27000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2021,136000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2021,91000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2021,158000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2021,180000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,29000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,126000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,271000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,148000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,2021,35000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,2021,23000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,165000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,194000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,2021,872000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,90000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,2021,36000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,2021,148000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,2021,8554000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,2021,686000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,2021,125000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2021,175000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,2021,1282000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,2021,1810000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,2021,8443000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,253000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,894000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2021,17000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,2021,95000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,2021,239000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,2021,1650000,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,2021,1986000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,2021,300000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,2021,295000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,2021,290000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,2021,25000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,2021,10000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,0,2021,94000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,0,2021,880000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,0,2021,306000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,0,2021,372000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2021,74000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2021,371000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2021,242000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2021,201000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2021,159000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2021,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2021,7588000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0,2021,300000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,2021,106000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,1,2021,4305000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,2021,86000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,1,2021,74000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2,1,2021,35000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,1,2021,67000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,1,2021,59000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,2021,2611000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,1,2021,190000,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0,2021,195000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,0,2021,63000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,0,2021,84000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2,0,2021,329000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2021,203000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,2021,90000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
